city_name,lat,lon,meals-basic,meals-medium,meals-luxury,hotel-basic,hotel-medium,hotel-luxury
New Delhi,28.6139,77.209,3.0,8.0,20.0,20.0,50.0,120.0
Mumbai,19.076,72.8777,3.0,8.0,20.0,20.0,50.0,120.0
Bengaluru,12.9716,77.5946,3.0,8.0,20.0,20.0,50.0,120.0
Hyderabad,17.385,78.4867,3.0,8.0,20.0,20.0,50.0,120.0
Chennai,13.0827,80.2707,3.0,8.0,20.0,20.0,50.0,120.0
Kolkata,22.5726,88.3639,3.0,8.0,20.0,20.0,50.0,120.0
Pune,18.5204,73.8567,3.0,8.0,20.0,20.0,50.0,120.0
Ahmedabad,23.0225,72.5714,3.0,8.0,20.0,20.0,50.0,120.0
Jaipur,26.9124,75.7873,3.0,8.0,20.0,20.0,50.0,120.0
Surat,21.1702,72.8311,3.0,8.0,20.0,20.0,50.0,120.0
Lucknow,26.8467,80.9462,3.0,8.0,20.0,20.0,50.0,120.0
Kanpur,26.4499,80.3319,3.0,8.0,20.0,20.0,50.0,120.0
Nagpur,21.1458,79.0882,3.0,8.0,20.0,20.0,50.0,120.0
Indore,22.7196,75.8577,3.0,8.0,20.0,20.0,50.0,120.0
Thane,19.2183,72.9781,3.0,8.0,20.0,20.0,50.0,120.0
Bhopal,23.2599,77.4126,3.0,8.0,20.0,20.0,50.0,120.0
Visakhapatnam,17.6868,83.2185,3.0,8.0,20.0,20.0,50.0,120.0
Vadodara,22.3072,73.1812,3.0,8.0,20.0,20.0,50.0,120.0
Patna,25.5941,85.1376,3.0,8.0,20.0,20.0,50.0,120.0
Ranchi,23.3441,85.3096,3.0,8.0,20.0,20.0,50.0,120.0
Raipur,21.2514,81.6296,3.0,8.0,20.0,20.0,50.0,120.0
Bhubaneswar,20.2961,85.8245,3.0,8.0,20.0,20.0,50.0,120.0
Chandigarh,30.7333,76.7794,3.0,8.0,20.0,20.0,50.0,120.0
Guwahati,26.1445,91.7362,3.0,8.0,20.0,20.0,50.0,120.0
Srinagar,34.0836,74.7973,3.0,8.0,20.0,20.0,50.0,120.0
Shimla,31.1048,77.1734,3.0,8.0,20.0,20.0,50.0,120.0
Manali,32.2432,77.1892,3.0,8.0,20.0,20.0,50.0,120.0
Leh,34.1526,77.5771,3.0,8.0,20.0,20.0,50.0,120.0
Amritsar,31.634,74.8723,3.0,8.0,20.0,20.0,50.0,120.0
Jodhpur,26.2389,73.0243,3.0,8.0,20.0,20.0,50.0,120.0
Udaipur,24.5854,73.7125,3.0,8.0,20.0,20.0,50.0,120.0
Jaisalmer,26.9157,70.9083,3.0,8.0,20.0,20.0,50.0,120.0
Agra,27.1767,78.0081,3.0,8.0,20.0,20.0,50.0,120.0
Varanasi,25.3176,82.9739,3.0,8.0,20.0,20.0,50.0,120.0
Kochi,9.9312,76.2673,3.0,8.0,20.0,20.0,50.0,120.0
Munnar,10.0889,77.0595,3.0,8.0,20.0,20.0,50.0,120.0
Ooty,11.4064,76.6932,3.0,8.0,20.0,20.0,50.0,120.0
Kodaikanal,10.2381,77.4892,3.0,8.0,20.0,20.0,50.0,120.0
Puducherry,11.9416,79.8083,3.0,8.0,20.0,20.0,50.0,120.0
Madurai,9.9252,78.1198,3.0,8.0,20.0,20.0,50.0,120.0
Coimbatore,11.0168,76.9558,3.0,8.0,20.0,20.0,50.0,120.0
Tiruchirapalli,10.7905,78.7047,3.0,8.0,20.0,20.0,50.0,120.0
Tirupati,13.6288,79.4192,3.0,8.0,20.0,20.0,50.0,120.0
Mysore,12.2958,76.6394,3.0,8.0,20.0,20.0,50.0,120.0
Hampi,15.335,76.46,3.0,8.0,20.0,20.0,50.0,120.0
Mangalore,12.9141,74.856,3.0,8.0,20.0,20.0,50.0,120.0
Udupi,13.3389,74.7421,3.0,8.0,20.0,20.0,50.0,120.0
Gokarna,14.5495,74.3183,3.0,8.0,20.0,20.0,50.0,120.0
Madikeri,12.4244,75.7382,3.0,8.0,20.0,20.0,50.0,120.0
Chikmagalur,13.3152,75.7778,3.0,8.0,20.0,20.0,50.0,120.0
Shirdi,19.7667,74.4833,3.0,8.0,20.0,20.0,50.0,120.0
Lonavala,18.755,73.4091,3.0,8.0,20.0,20.0,50.0,120.0
Mahabaleshwar,17.9307,73.6473,3.0,8.0,20.0,20.0,50.0,120.0
Nashik,19.9975,73.7898,3.0,8.0,20.0,20.0,50.0,120.0
Aurangabad,19.8762,75.3433,3.0,8.0,20.0,20.0,50.0,120.0
Kolhapur,16.705,74.2433,3.0,8.0,20.0,20.0,50.0,120.0
Alibaug,18.6414,72.8722,3.0,8.0,20.0,20.0,50.0,120.0
Ajanta,20.5525,75.703,3.0,8.0,20.0,20.0,50.0,120.0
Ellora,20.026,75.1786,3.0,8.0,20.0,20.0,50.0,120.0
Panaji,15.4909,73.8278,3.0,8.0,20.0,20.0,50.0,120.0
Calangute,15.5439,73.7555,3.0,8.0,20.0,20.0,50.0,120.0
Mapusa,15.59,73.82,3.0,8.0,20.0,20.0,50.0,120.0
Margao,15.2993,74.124,3.0,8.0,20.0,20.0,50.0,120.0
Vasco da Gama,15.3997,73.8195,3.0,8.0,20.0,20.0,50.0,120.0
Port Blair,11.6234,92.7265,3.0,8.0,20.0,20.0,50.0,120.0
Havelock Island,12.0225,92.9895,3.0,8.0,20.0,20.0,50.0,120.0
Neil Island,11.85,93.0333,3.0,8.0,20.0,20.0,50.0,120.0
Kavaratti,10.5667,72.642,3.0,8.0,20.0,20.0,50.0,120.0
Minicoy,8.2667,73.0433,3.0,8.0,20.0,20.0,50.0,120.0
Agatti,10.8633,72.1911,3.0,8.0,20.0,20.0,50.0,120.0
Silvassa,20.2763,72.9967,3.0,8.0,20.0,20.0,50.0,120.0
Daman,20.3974,72.8328,3.0,8.0,20.0,20.0,50.0,120.0
Diu,20.7156,70.9905,3.0,8.0,20.0,20.0,50.0,120.0
Gandhinagar,23.2156,72.6369,3.0,8.0,20.0,20.0,50.0,120.0
Rajkot,22.3039,70.8022,3.0,8.0,20.0,20.0,50.0,120.0
Bhavnagar,21.7629,72.1519,3.0,8.0,20.0,20.0,50.0,120.0
Jamnagar,22.4707,70.0577,3.0,8.0,20.0,20.0,50.0,120.0
Bhuj,23.241,69.6669,3.0,8.0,20.0,20.0,50.0,120.0
Dwarka,22.2373,68.9674,3.0,8.0,20.0,20.0,50.0,120.0
Somnath,20.892,70.4019,3.0,8.0,20.0,20.0,50.0,120.0
Sasan Gir,21.1451,70.6969,3.0,8.0,20.0,20.0,50.0,120.0
Modhera,23.5914,72.1383,3.0,8.0,20.0,20.0,50.0,120.0
Patan,23.85,72.117,3.0,8.0,20.0,20.0,50.0,120.0
Saputara,20.5564,73.7604,3.0,8.0,20.0,20.0,50.0,120.0
Mount Abu,24.5937,72.7153,3.0,8.0,20.0,20.0,50.0,120.0
Pushkar,26.4872,74.5505,3.0,8.0,20.0,20.0,50.0,120.0
Ajmer,26.4499,74.6399,3.0,8.0,20.0,20.0,50.0,120.0
Bikaner,28.0229,73.3119,3.0,8.0,20.0,20.0,50.0,120.0
Kota,25.2138,75.8648,3.0,8.0,20.0,20.0,50.0,120.0
Alwar,27.5529,76.6346,3.0,8.0,20.0,20.0,50.0,120.0
Bharatpur,27.2173,77.4898,3.0,8.0,20.0,20.0,50.0,120.0
Ranthambore,25.9949,76.3733,3.0,8.0,20.0,20.0,50.0,120.0
Chittorgarh,24.8887,74.6269,3.0,8.0,20.0,20.0,50.0,120.0
Bundi,25.4311,75.6404,3.0,8.0,20.0,20.0,50.0,120.0
Jhunjhunu,28.1193,75.402,3.0,8.0,20.0,20.0,50.0,120.0
Aizawl,23.7271,92.7176,3.0,8.0,20.0,20.0,50.0,120.0
Lunglei,22.8775,92.7337,3.0,8.0,20.0,20.0,50.0,120.0
Champhai,23.6167,93.0167,3.0,8.0,20.0,20.0,50.0,120.0
Mamit,23.3833,92.5,3.0,8.0,20.0,20.0,50.0,120.0
Kolasib,24.2333,92.6833,3.0,8.0,20.0,20.0,50.0,120.0
Serchhip,23.3167,92.85,3.0,8.0,20.0,20.0,50.0,120.0
Saiha,22.4837,92.977,3.0,8.0,20.0,20.0,50.0,120.0
Lawngtlai,22.5167,92.9167,3.0,8.0,20.0,20.0,50.0,120.0
Hnahthial,22.8803,92.9116,3.0,8.0,20.0,20.0,50.0,120.0
Khawzawl,23.033,93.038,3.0,8.0,20.0,20.0,50.0,120.0
Itanagar,27.0844,93.6053,3.0,8.0,20.0,20.0,50.0,120.0
Tawang,27.586,91.8797,3.0,8.0,20.0,20.0,50.0,120.0
Ziro,27.59,93.8266,3.0,8.0,20.0,20.0,50.0,120.0
Pasighat,28.0667,95.3333,3.0,8.0,20.0,20.0,50.0,120.0
Bomdila,27.2644,92.4001,3.0,8.0,20.0,20.0,50.0,120.0
Dirang,27.3391,92.2449,3.0,8.0,20.0,20.0,50.0,120.0
Daporijo,27.9867,94.2229,3.0,8.0,20.0,20.0,50.0,120.0
Roing,27.916,95.5533,3.0,8.0,20.0,20.0,50.0,120.0
Aalo,28.169,94.8,3.0,8.0,20.0,20.0,50.0,120.0
Anini,28.1367,96.8383,3.0,8.0,20.0,20.0,50.0,120.0
Gangtok,27.3314,88.6138,3.0,8.0,20.0,20.0,50.0,120.0
Pelling,27.3177,88.264,3.0,8.0,20.0,20.0,50.0,120.0
Ravangla,27.3087,88.3941,3.0,8.0,20.0,20.0,50.0,120.0
Yuksom,27.33,88.25,3.0,8.0,20.0,20.0,50.0,120.0
Lachung,27.6569,88.7425,3.0,8.0,20.0,20.0,50.0,120.0
Lachen,27.6973,88.5611,3.0,8.0,20.0,20.0,50.0,120.0
Namchi,27.1785,88.3639,3.0,8.0,20.0,20.0,50.0,120.0
Tsomgo Lake,27.3743,88.7516,3.0,8.0,20.0,20.0,50.0,120.0
Nathu La,27.4039,88.7447,3.0,8.0,20.0,20.0,50.0,120.0
Dehradun,30.3165,78.0322,3.0,8.0,20.0,20.0,50.0,120.0
Nainital,29.3803,79.4636,3.0,8.0,20.0,20.0,50.0,120.0
Mussoorie,30.4599,78.064,3.0,8.0,20.0,20.0,50.0,120.0
Rishikesh,30.0869,78.2676,3.0,8.0,20.0,20.0,50.0,120.0
Haridwar,29.9457,78.1639,3.0,8.0,20.0,20.0,50.0,120.0
Auli,30.5286,79.5603,3.0,8.0,20.0,20.0,50.0,120.0
Badrinath,30.7433,79.493,3.0,8.0,20.0,20.0,50.0,120.0
Kedarnath,30.7346,79.0669,3.0,8.0,20.0,20.0,50.0,120.0
Almora,29.5892,79.6467,3.0,8.0,20.0,20.0,50.0,120.0
Ranikhet,29.6424,79.4322,3.0,8.0,20.0,20.0,50.0,120.0
Corbett,29.3909,79.124,3.0,8.0,20.0,20.0,50.0,120.0
Khajuraho,24.8318,79.9383,3.0,8.0,20.0,20.0,50.0,120.0
Orchha,25.3519,78.6409,3.0,8.0,20.0,20.0,50.0,120.0
Sanchi,23.4868,77.7378,3.0,8.0,20.0,20.0,50.0,120.0
Mandu,22.3667,75.3833,3.0,8.0,20.0,20.0,50.0,120.0
Omkareshwar,22.2407,76.1508,3.0,8.0,20.0,20.0,50.0,120.0
Pachmarhi,22.467,78.4337,3.0,8.0,20.0,20.0,50.0,120.0
Gwalior,26.2183,78.1828,3.0,8.0,20.0,20.0,50.0,120.0
Ujjain,23.1793,75.7849,3.0,8.0,20.0,20.0,50.0,120.0
Jabalpur,23.1815,79.9864,3.0,8.0,20.0,20.0,50.0,120.0
Puri,19.8135,85.8315,3.0,8.0,20.0,20.0,50.0,120.0
Konark,19.8876,86.094,3.0,8.0,20.0,20.0,50.0,120.0
Cuttack,20.4625,85.882,3.0,8.0,20.0,20.0,50.0,120.0
New York,40.7128,-74.006,3.0,8.0,20.0,20.0,50.0,120.0
Los Angeles,34.0522,-118.2437,3.0,8.0,20.0,20.0,50.0,120.0
Chicago,41.8781,-87.6298,3.0,8.0,20.0,20.0,50.0,120.0
London,51.5074,-0.1278,12.0,25.0,60.0,60.0,120.0,300.0
Paris,48.8566,2.3522,12.0,25.0,60.0,60.0,120.0,300.0
Tokyo,35.6895,139.6917,12.0,25.0,60.0,60.0,120.0,300.0
Beijing,39.9042,116.4074,12.0,25.0,60.0,60.0,120.0,300.0
Sydney,-33.8688,151.2093,12.0,25.0,60.0,60.0,120.0,300.0
Toronto,43.651,-79.347,12.0,25.0,60.0,60.0,120.0,300.0
Moscow,55.7558,37.6173,12.0,25.0,60.0,60.0,120.0,300.0
Dubai,25.2048,55.2708,12.0,25.0,60.0,60.0,120.0,300.0
Singapore,1.3521,103.8198,12.0,25.0,60.0,60.0,120.0,300.0
Hong Kong,22.3193,114.1694,12.0,25.0,60.0,60.0,120.0,300.0
Bangkok,13.7563,100.5018,12.0,25.0,60.0,60.0,120.0,300.0
Shanghai,31.2304,121.4737,12.0,25.0,60.0,60.0,120.0,300.0
Istanbul,41.0082,28.9784,12.0,25.0,60.0,60.0,120.0,300.0
Seoul,37.5665,126.978,12.0,25.0,60.0,60.0,120.0,300.0
Rome,41.9028,12.4964,12.0,25.0,60.0,60.0,120.0,300.0
Barcelona,41.3874,2.1686,12.0,25.0,60.0,60.0,120.0,300.0
Berlin,52.52,13.405,12.0,25.0,60.0,60.0,120.0,300.0
Amsterdam,52.3676,4.9041,12.0,25.0,60.0,60.0,120.0,300.0
Venice,45.4408,12.3155,12.0,25.0,60.0,60.0,120.0,300.0
Prague,50.0755,14.4378,12.0,25.0,60.0,60.0,120.0,300.0
Zurich,47.3769,8.5417,12.0,25.0,60.0,60.0,120.0,300.0
Vienna,48.2082,16.3738,12.0,25.0,60.0,60.0,120.0,300.0
Cairo,30.0444,31.2357,12.0,25.0,60.0,60.0,120.0,300.0
Cape Town,-33.9249,18.4241,12.0,25.0,60.0,60.0,120.0,300.0
Rio de Janeiro,-22.9068,-43.1729,12.0,25.0,60.0,60.0,120.0,300.0
Sao Paulo,-23.5505,-46.6333,12.0,25.0,60.0,60.0,120.0,300.0
Buenos Aires,-34.6037,-58.3816,12.0,25.0,60.0,60.0,120.0,300.0
Mexico City,19.4326,-99.1332,12.0,25.0,60.0,60.0,120.0,300.0
Vancouver,49.2827,-123.1207,12.0,25.0,60.0,60.0,120.0,300.0
Madrid,40.4168,-3.7038,12.0,25.0,60.0,60.0,120.0,300.0
Lisbon,38.7223,-9.1393,12.0,25.0,60.0,60.0,120.0,300.0
Athens,37.9838,23.7275,12.0,25.0,60.0,60.0,120.0,300.0
Kuala Lumpur,3.139,101.6869,12.0,25.0,60.0,60.0,120.0,300.0
Denpasar,-8.6705,115.2126,12.0,25.0,60.0,60.0,120.0,300.0
Phuket,7.8804,98.3923,12.0,25.0,60.0,60.0,120.0,300.0
Male,4.1753,73.5089,12.0,25.0,60.0,60.0,120.0,300.0
Auckland,-36.8485,174.7633,12.0,25.0,60.0,60.0,120.0,300.0
Lima,-12.0464,-77.0428,12.0,25.0,60.0,60.0,120.0,300.0
Nairobi,-1.2921,36.8219,12.0,25.0,60.0,60.0,120.0,300.0
Marrakech,31.63,-7.993,12.0,25.0,60.0,60.0,120.0,300.0
Honolulu,21.3069,-157.8583,12.0,25.0,60.0,60.0,120.0,300.0
Montreal,45.5017,-73.5673,12.0,25.0,60.0,60.0,120.0,300.0
Dublin,53.3498,-6.2603,12.0,25.0,60.0,60.0,120.0,300.0
Edinburgh,55.9533,-3.1883,12.0,25.0,60.0,60.0,120.0,300.0
Miami,25.7617,-80.1918,12.0,25.0,60.0,60.0,120.0,300.0
San Francisco,37.7749,-122.4194,12.0,25.0,60.0,60.0,120.0,300.0
Las Vegas,36.1699,-115.1398,12.0,25.0,60.0,60.0,120.0,300.0
Orlando,28.5383,-81.3792,12.0,25.0,60.0,60.0,120.0,300.0
Washington DC,38.9072,-77.0369,12.0,25.0,60.0,60.0,120.0,300.0
Stockholm,59.3293,18.0686,12.0,25.0,60.0,60.0,120.0,300.0
Dhanaulti,10.1206,94.0735,3.0,8.0,20.0,20.0,50.0,120.0
Chamba,28.7777,79.646,3.0,8.0,20.0,20.0,50.0,120.0
Palampur,22.2322,87.0567,3.0,8.0,20.0,20.0,50.0,120.0
Bilaspur (Chhattisgarh),12.6605,84.9321,3.0,8.0,20.0,20.0,50.0,120.0
Belonia,26.0329,78.8056,3.0,8.0,20.0,20.0,50.0,120.0
Nalgonda,20.8698,84.6002,3.0,8.0,20.0,20.0,50.0,120.0
Erode,10.7521,84.0975,3.0,8.0,20.0,20.0,50.0,120.0
Nongpoh,27.9187,88.369,3.0,8.0,20.0,20.0,50.0,120.0
Hubballi,29.1546,70.7726,3.0,8.0,20.0,20.0,50.0,120.0
Dalhousie,24.2442,96.9411,3.0,8.0,20.0,20.0,50.0,120.0
Chhindwara,24.1568,81.5383,3.0,8.0,20.0,20.0,50.0,120.0
Shivpuri,12.3676,79.6061,3.0,8.0,20.0,20.0,50.0,120.0
Zuluk,23.9637,76.731,3.0,8.0,20.0,20.0,50.0,120.0
Jind,18.9581,72.5697,3.0,8.0,20.0,20.0,50.0,120.0
Mirzapur,8.9413,74.4583,3.0,8.0,20.0,20.0,50.0,120.0
Chitradurga,20.8897,86.385,3.0,8.0,20.0,20.0,50.0,120.0
Palamu,13.5953,79.6076,3.0,8.0,20.0,20.0,50.0,120.0
Tura,20.9954,83.1125,3.0,8.0,20.0,20.0,50.0,120.0
Pithoragarh,24.6151,72.5894,3.0,8.0,20.0,20.0,50.0,120.0
Candolim,10.3563,89.9124,3.0,8.0,20.0,20.0,50.0,120.0
Sivasagar,31.0006,73.5931,3.0,8.0,20.0,20.0,50.0,120.0
Senapati,17.8859,87.4918,3.0,8.0,20.0,20.0,50.0,120.0
Mahbubnagar,15.8686,73.2868,3.0,8.0,20.0,20.0,50.0,120.0
Palakkad,15.3037,93.0543,3.0,8.0,20.0,20.0,50.0,120.0
Anand,35.719,74.4661,3.0,8.0,20.0,20.0,50.0,120.0
Noida,8.5364,95.1347,3.0,8.0,20.0,20.0,50.0,120.0
Churachandpur,28.7802,69.4341,3.0,8.0,20.0,20.0,50.0,120.0
Barmer,19.6541,88.835,3.0,8.0,20.0,20.0,50.0,120.0
Sirsa,11.1415,90.0664,3.0,8.0,20.0,20.0,50.0,120.0
Solapur,24.0324,82.2966,3.0,8.0,20.0,20.0,50.0,120.0
Udhampur,33.6553,84.0292,3.0,8.0,20.0,20.0,50.0,120.0
Lahaul,14.3062,92.9372,3.0,8.0,20.0,20.0,50.0,120.0
Ahmednagar,32.1102,84.4698,3.0,8.0,20.0,20.0,50.0,120.0
Chittoor,19.3508,82.6152,3.0,8.0,20.0,20.0,50.0,120.0
Thanjavur,12.9038,86.9727,3.0,8.0,20.0,20.0,50.0,120.0
Dindigul,25.8309,81.5976,3.0,8.0,20.0,20.0,50.0,120.0
Satara,10.8282,85.296,3.0,8.0,20.0,20.0,50.0,120.0
Cuddalore,14.0955,94.8338,3.0,8.0,20.0,20.0,50.0,120.0
Mawsynram,27.5234,72.2297,3.0,8.0,20.0,20.0,50.0,120.0
Temi,13.8548,96.933,3.0,8.0,20.0,20.0,50.0,120.0
Mehsana,35.0974,76.3638,3.0,8.0,20.0,20.0,50.0,120.0
Sahibganj,31.3842,79.8892,3.0,8.0,20.0,20.0,50.0,120.0
Khowai,36.3453,94.4808,3.0,8.0,20.0,20.0,50.0,120.0
Dahod,10.2965,73.9936,3.0,8.0,20.0,20.0,50.0,120.0
Igatpuri,8.7766,68.4434,3.0,8.0,20.0,20.0,50.0,120.0
Nanded,35.8387,76.0287,3.0,8.0,20.0,20.0,50.0,120.0
Imphal,32.5548,86.4874,3.0,8.0,20.0,20.0,50.0,120.0
Sonamarg,10.1715,89.1104,3.0,8.0,20.0,20.0,50.0,120.0
Mathura,31.3594,81.3313,3.0,8.0,20.0,20.0,50.0,120.0
Shahjahanpur,23.2941,89.3087,3.0,8.0,20.0,20.0,50.0,120.0
Dimapur,18.3876,90.9618,3.0,8.0,20.0,20.0,50.0,120.0
Deoghar,31.9537,87.5856,3.0,8.0,20.0,20.0,50.0,120.0
Phek,27.0204,83.6367,3.0,8.0,20.0,20.0,50.0,120.0
